344;51.1166602022,17.0325314999
344;51.1167780625,17.0322471857
344;51.1166147417,17.0323625207
344;51.1166399975,17.0321720839
344;51.1166871417,17.0320728421
345;51.1263136505,17.0345163345
345;51.1274179276,17.0352888107
346;51.1265358547,17.0482009649
346;51.1272428611,17.0504003763
346;51.1255056262,17.0502823591
347;51.1265358547,17.0482224226
347;51.1272428611,17.050421834
347;51.1255123598,17.0502609015
340;51.151449612,16.9312351942
341;51.1130670016,17.0362114906
342;51.1200780297,16.9704651833
342;51.1197749813,16.9733351469
342;51.1195965185,16.9757035375
342;51.1190038825,16.9787988067
342;51.118997148,16.979624927
342;51.117475116,16.9846996665
342;51.1171417439,16.9853715599
342;51.1167443882,16.9862513244
342;51.1167039789,16.9861681759
342;51.115845274,16.9876809418
342;51.117475116,16.9916680455
342;51.1172495008,16.9919630885
343;51.1428817658,17.0466989279
348;51.1306498064,17.0634627342
349;51.1096924388,16.8817591667
595;51.119148675,17.0420050621
595;51.1194180551,17.0512747765
595;51.1270677938,17.0547509193
595;51.1278757909,17.0535063744
719;51.1043842447,17.1220207214
719;51.095760498,17.104511261
719;51.1005037577,17.0791053772
719;51.1059471266,17.0692563057
718;51.1197682468,17.0482814312
718;51.1228525135,17.05031991
717;51.1414211023,17.0906817913
717;51.1394689913,17.0821416378
717;51.1319424946,17.0643210411
717;51.1284144477,17.0550513268
717;51.1315116025,17.0789551735
717;51.1154580096,17.0738482475
716;51.0997626555,17.0449849963
716;51.0996683325,17.0455053449
716;51.0998906649,17.0456555486
716;51.0999917247,17.0452424884
715;51.1095577206,17.0220065117
714;51.1180711389,17.0519292355
713;51.1516918846,17.1247780323
712;51.1008069325,16.9920006394
712;51.1121240348,16.9926980138
712;51.1014334874,16.9922205806
712;51.1025518331,16.9922527671
712;51.1020095062,16.9920381904
711;51.1228312339,17.0552015305
710;51.1130054848,17.0282138588
606;51.104417928,17.1497386694
594;51.1443191295,16.8783395942
736;51.1040170945,17.0401248336
736;51.1038048871,17.0408275723
619;51.0804763463,17.0280683041
298;51.113898817,17.0543888211
299;51.0788605169,17.0903478563
299;51.0793164517,17.0900601894
299;51.078425035,17.0902626961
299;51.0776874041,17.0897369832
299;51.0777573374,17.0899421722
296;51.0982467275,17.0120662451
296;51.0983814786,17.0110470057
297;51.1104955757,17.0371372551
294;51.1413975428,17.0655950904
294;51.1412662827,17.0658740401
294;51.1413840802,17.0659437776
294;51.1413773489,17.0660349727
294;51.1412696483,17.065949142
294;51.1406167079,17.068041265
295;51.124829905,16.989040017
292;51.1098002131,16.8966829777
293;51.1063917299,17.0275211334
290;51.0841344962,17.0256035977
290;51.0842532459,17.0247491924
290;51.0837679904,17.0242771236
290;51.0836466761,17.0251783458
291;51.1510323618,16.9250392914
291;51.1520552912,16.9257259369
291;51.15022477,16.9285583496
291;51.1495786863,16.9266700745
291;51.1499151893,16.9278931618
591;51.1007829481,17.0335400105
590;51.1276973594,16.9445429742
593;51.1031143642,17.0028582215
592;51.1451555746,17.1157915592
199;51.1036656781,17.0542144775
199;51.1502068408,17.0267486572
199;51.0658524225,17.0576477051
199;51.1124316588,16.9862365723
198;51.1063602945,17.0396232605
198;51.1257570141,16.9651222229
198;51.127803987,17.1160125732
198;51.1562365211,17.0418548584
198;51.067578416,17.054901123
597;51.0761961483,17.0407551527
597;51.0752322066,17.040733695
596;51.0756231784,16.9687914848
195;51.1113590047,17.0420440759
194;51.0753805066,16.9819879532
194;51.0707425351,16.9740056992
194;51.0683694397,16.9708299637
194;51.0747873036,16.9795846939
194;51.0734390867,16.9777393341
197;51.0691211578,16.9802588226
197;51.0731584842,16.97962448
196;51.1584660297,16.9160914421
196;51.1696882845,16.9029164314
196;51.1264258739,16.953599453
196;51.1118366501,16.9729220867
196;51.1073235876,17.0083272457
191;51.0717739847,17.0005005598
191;51.0720773478,16.9990628958
190;51.1490180668,17.0755244494
190;51.1382031042,17.067294091
193;51.0669252974,16.9959616178
192;51.151617857,16.8929117918
270;51.1253574869,17.0531871915
271;51.1646213393,17.0435419679
272;51.101032935,17.0277864285
272;51.1008920663,17.0273943381
273;51.1041417238,17.0314049721
274;51.1271755276,17.0333790779
275;51.0853829207,16.9778037071
275;51.0753265794,17.0108485222
275;51.0969733096,17.1029448509
276;51.0798259165,16.9931325316
276;51.0805707084,16.9914320111
277;51.0814226549,17.000092864
277;51.0816855149,17.0005005598
278;51.1696030737,16.889526844
278;51.1698721595,16.885535717
279;51.1731817864,16.8871235847
279;51.1713251957,16.8859648705
738;51.0651135838,17.0259386301
738;51.0669952805,17.0270383358
738;51.0666986262,17.0268452168
738;51.0661592499,17.0264804363
738;51.0614732891,17.02428174
738;51.0636174898,17.0253760813
524;51.1366281859,16.9502857749
524;51.1356587718,16.9528392379
525;51.0771169297,16.9639420509
525;51.0767664147,16.9805502892
526;51.1088167635,16.9529289007
527;51.1007462977,16.9536584616
527;51.0991933461,16.9545865059
521;51.0821680949,17.0090299845
521;51.083354304,17.0052319765
521;51.0827679431,17.0072329044
522;51.1270408604,17.0489037037
522;51.1268321254,17.0482224226
522;51.1272563277,17.0486864448
523;51.1001156911,17.0401511192
599;51.145716443,16.945288629
599;51.1443837554,16.9486789412
528;51.1439519922,17.1299117804
529;51.0898947575,17.0423296094
529;51.0901070287,17.0422974229
449;51.1453035369,16.8599681882
448;51.0767757844,17.0471227169
448;51.0766409702,17.048163414
443;51.1086955148,16.9709587097
442;51.0746727067,17.0096361637
441;51.0693277263,17.0123451948
441;51.0693395245,17.0124712586
441;51.0694237966,17.0124685764
