53-015,54.3405687,18.0614204
51-642,51.10121530000001,17.1073617
54-320,51.1285858,16.9442157
53-019,54.3405687,18.0614204
50-572,51.0734596,17.0343837
50-223,51.1242561,17.0310955
54-615,51.0996665,16.9286546
53-026,54.3405687,18.0614204
53-516,51.0999107,17.0080862
54-151,51.1360435,16.9703512
53-311,51.0888862,17.0202417
55-011,51.0394639,17.1566415
50-555,51.0803928,17.0461292
51-170,51.1561355,17.0713453
53-245,51.0965003,16.9911079
54-215,51.1209716,16.9637937
50-338,51.11911389999999,17.059514
53-422,51.0829086,17.0026435
52-113,51.0658569,17.0804185
50-323,51.1227645,17.0460472
52-235,51.064949,17.0440359
50-322,51.12198249999999,17.0498247
53-344,51.1004791,17.031126
51-145,51.1388072,17.0603237
51-664,51.1024532,17.1091804
50-240,51.1213951,17.0336141
53-320,51.0888061,17.0103082
51-147,51.1377296,17.0685968
54-434,51.1153717,16.9579248
54-153,51.1359653,16.9767284
53-142,51.0846958,16.9979171
54-142,51.1398468,16.9649982
52-132,51.0479583,17.091979
53-226,51.0962104,16.993844
50-346,51.1154556,17.0640735
55-010,51.0361732,17.1071636
54-438,51.1238117,16.9168205
52-115,51.0639495,17.082838
54-220,51.1272239,16.9886627
50-231,51.1286163,17.0379791
51-604,51.1201095,17.0784101
50-210,51.1184844,17.0277318
50-252,51.1219863,17.0311622
51-107,51.138771,17.0253734
52-130,51.0639343,17.0652284
51-515,51.110279,17.1431093
50-324,51.12181469999999,17.0483684
51-137,51.1388072,17.0603237
53-327,51.08900449999999,17.0137615
51-677,51.10882369999999,17.1014232
55-003,51.0655857,17.2681713
52-026,51.0759468,17.0828266
51-674,54.3402275,18.0617716
50-452,51.1034431,17.0410194
51-638,51.09993739999999,17.1060123
53-150,51.0829086,17.0026435
51-601,51.117897,17.0750675
51-640,51.10060499999999,17.1006946
50-047,51.1043281,17.023797
53-514,51.0995483,17.0176973
54-139,51.13908379999999,16.9614677
51-162,51.1150169,17.0374174
51-153,51.1345825,17.0525331
53-446,51.0977249,17.0123519
53-430,51.09926979999999,17.0066413
51-113,51.1580162,17.0100183
51-612,51.1187248,17.0926904
54-207,51.1232166,16.9760112
50-447,51.1050376,17.0451354
52-225,51.07098,17.0188951
50-056,51.105936,17.0367832
53-145,51.0836868,17.0005893
51-206,51.157154,17.1263999
54-018,51.1473808,16.8667812
51-650,54.3402275,18.0617716
52-402,51.0955257,16.9814205
54-101,51.1607704,16.9246473
50-306,51.125225,17.056715
53-507,51.10227580000001,17.0168075
50-035,51.1038436,17.0261116
53-146,51.0841941,17.0063018
54-156,51.13068,16.953782
54-236,51.1299629,16.9824428
51-168,51.14316549999999,17.0716896
56-120,51.27391429999999,16.7176475
53-632,51.1196136,17.0125169
51-503,51.1151771,17.127386
50-521,51.0874633,17.0378227
53-032,54.3405687,18.0614204
50-442,51.1030254,17.028923
50-307,51.1154556,17.0412034
52-207,51.0552749,17.0177497
50-420,51.1071891,17.04395
50-214,51.1205177,17.0296421
52-409,54.34031,18.0613802
50-229,51.12861820000001,17.0349407
50-315,51.1248207,17.0454196
50-020,51.1030082,17.0243091
50-310,51.12574,17.0490045
53-148,51.08475869999999,17.0080909
53-605,51.1088447,17.0199851
54-405,51.1035404,16.967329
54-054,51.1558036,16.8968973
50-543,51.0851173,17.0445833
53-011,54.3405687,18.0614204
53-508,51.1024971,17.0204896
51-166,51.13879009999999,17.0760936
53-503,51.0955257,16.9814205
54-072,51.1465606,16.8674163
50-421,51.1041412,17.0601854
51-627,51.1053848,17.0479888
51-504,51.1129379,17.1246747
54-042,51.1455383,16.876564
51-152,51.1341629,17.0560512
50-033,51.1030082,17.0243091
51-312,51.13879009999999,17.0760936
53-535,51.0979919,17.0178613
50-552,51.0824584,17.0275211
54-108,51.1532707,16.9385433
50-367,51.110794,17.0699424
53-662,51.1135463,17.0171661
54-513,51.1230163,16.9186315
53-501,51.0955257,16.9814205
51-610,51.1193428,17.0831165
50-311,51.1223602,17.0549278
50-250,51.1184711,17.0327548
53-527,51.1002807,17.0204639
53-626,51.1162528,17.0036067
50-113,51.1117286,17.0310935
50-253,51.1219863,17.0311622
05-515,52.0267944,20.9513034
54-113,51.1501464,16.9327325
52-244,51.0586776,17.0354948
50-502,51.0855522,17.0479965
53-228,51.0948009,16.9925861
55-080,51.03981899999999,16.7943949
53-631,51.1174888,17.0075273
50-550,51.0867557,17.038721
51-149,51.14442820000001,17.0610666
53-031,54.3405687,18.0614204
53-441,51.1008796,16.9972686
53-533,51.1009216,17.0235795
53-023,54.3405687,18.0614204
51-662,51.1043434,17.1080398
50-209,51.119667,17.025259
50-308,51.12465659999999,17.0553836
52-131,51.0594978,17.0557947
51-637,51.0963497,17.1005287
54-402,51.1096534,16.9682245
51-124,51.1405048,17.0337009
50-023,51.100568,17.0283175
54-035,51.1334533,16.8926658
54-107,51.1578025,16.9277181
54-056,51.15502919999999,16.8874187
53-520,51.0995006,17.0144195
53-442,51.1012725,17.0016326
54-206,51.1191902,16.9973354
53-230,51.0948009,16.9925861
50-457,51.1012268,17.0420684
51-506,51.1098709,17.1364784
52-213,51.0515079,17.0179309
54-440,51.1181411,16.9560947
50-254,51.1229629,17.034748
52-428,51.0720214,16.9763669
54-114,51.1446151,16.9219408
50-566,51.0849723,17.0419616
52-231,51.10999289999999,17.0221424
50-301,51.1189842,17.0382366
53-018,54.3405687,18.0614204
54-530,51.1164321,16.8609056
53-443,51.09926979999999,17.0066413
51-676,51.0998191,17.1125841
50-448,51.1040496,17.0443201
53-602,51.1059036,17.0154914
52-319,51.0656433,16.9745998
54-613,51.0966835,16.9529886
51-164,51.13039389999999,17.0683326
53-324,51.0877494,17.0070943
54-313,51.123043,16.9480829
50-134,51.11115640000001,17.0274829
23-538,53.6462122,17.2886944
50-208,51.1174221,17.0326404
53-523,51.1009216,17.0235795
50-512,51.0809974,17.0587539
63-500,51.4266842,17.9354455
51-160,51.1326103,17.063137
55-002,51.0768184,17.1762909
66-400,52.7567465,15.268242
54-116,51.15357969999999,16.9341659
50-249,51.118082,17.0342578
51-122,51.1076583,17.0375022
54-316,51.1273422,16.9489707
50-354,51.11911389999999,17.059514
50-246,51.1278877,17.0374126
50-369,51.1083602,17.068983
63-400,51.64271919999999,17.8147907
50-088,51.0981597,17.0311622
50-234,51.1240463,17.041212
50-534,51.0899467,17.0351495
51-217,51.1891437,17.1184611
52-419,51.0739955,16.9658794
58-250,50.702352,16.5411966
55-093,51.15291029999999,17.2602307
50-504,51.0872192,17.0535545
53-332,51.0786895,17.0066089
51-514,51.1081008,17.1500473
50-027,51.1008644,17.0289669
50-362,51.1146926,17.0627489
51-143,51.14078139999999,17.0546426
51-316,51.14702219999999,17.1167564
51-211,51.1644973,17.1093673
46-046,53.4129553,18.1458918
51-203,51.1574211,17.1295318
50-361,51.1190185,17.0636501
52-221,51.0593242,17.0299968
50-048,51.1030082,17.0243091
52-214,51.0542945,17.0305442
50-501,51.0855522,17.0479965
50-537,51.0742607,17.0419635
51-142,51.1408424,17.0431289
54-106,51.1525459,16.9513034
51-507,51.1150169,17.0374174
53-129,51.085411,17.0180225
55-220,51.0339927,17.4223995
51-348,51.1398124,17.1245145
